Time,Queue Size,Packet Loss,Link Utilization,Global Sync Detected,Average Queue Depth,Times Problem Detected,Average Time Difference between Problem,Variance of Time Difference
415,118,21,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
416,108,21,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
417,101,21,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
418,97,21,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
419,99,21,97.000000,0.000000,0.000000,4,79331.335938,230164336.000000
420,102,21,99.000000,0.000000,0.000000,4,79331.335938,230164336.000000
421,106,21,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
422,112,21,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
423,120,21,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
424,130,21,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
425,142,21,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
426,156,21,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
427,172,21,100.000000,0.000000,0.000000,4,79331.335938,230164336.000000
428,183,22,100.000000,1.000000,0.000000,5,71500.750000,110372464.000000
429,164,22,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
430,148,22,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
431,135,22,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
432,125,22,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
433,118,22,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
434,114,22,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
435,113,22,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
436,115,22,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
437,120,22,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
438,127,22,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
439,136,22,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
440,147,22,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
441,160,22,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
442,175,22,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
443,191,23,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
444,171,23,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
445,154,23,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
446,140,23,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
447,129,23,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
448,121,23,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
449,116,23,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
450,114,23,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
451,115,23,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
452,118,23,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
453,123,23,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
454,130,23,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
455,139,23,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
456,150,23,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
457,163,23,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
458,178,23,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
459,194,24,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
460,183,24,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
461,173,24,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
462,165,24,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
463,159,24,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
464,155,24,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
465,153,24,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
466,153,24,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
467,155,24,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
468,159,24,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
